time(s),emg01,emg02,emg03,emg04,emg05,emg06,emg07,emg08
1.9890782833099365,46,62,155,53,66,46,22,38
2.0097408294677734,43,53,192,46,60,45,24,35
2.0393519401550293,37,49,174,44,52,42,23,34
2.0534074306488037,33,45,189,34,48,39,22,30
2.066098213195801,30,44,190,35,46,33,20,28
2.0887815952301025,31,39,186,37,46,33,20,24
2.1040215492248535,30,38,141,38,43,32,22,25
2.1259918212890625,32,34,171,39,45,36,21,25
2.149287223815918,31,32,174,40,44,33,22,26
2.1636219024658203,30,32,183,39,50,36,25,28
2.186269998550415,29,34,181,38,51,35,28,27
2.2096643447875977,30,31,216,36,53,36,26,28
2.223865270614624,27,30,193,35,50,35,28,28
2.246466875076294,27,30,194,34,48,35,26,29
2.269578695297241,29,32,206,36,43,32,25,27
2.2833993434906006,28,35,229,37,41,31,24,31
2.306148052215576,28,42,234,41,43,37,24,29
2.329052686691284,26,42,248,41,46,37,23,29
2.343487024307251,26,44,252,46,47,38,24,29
2.3659470081329346,26,43,239,46,43,37,25,29
2.388826608657837,26,41,250,46,45,39,23,26
2.405003309249878,24,38,245,44,48,32,25,27
2.4266505241394043,25,38,229,43,45,33,27,24
2.4485599994659424,26,36,237,40,44,32,27,22
2.463726282119751,26,36,238,43,48,33,27,25
2.4859981536865234,27,36,233,45,48,34,28,25
2.509291648864746,27,31,206,43,43,37,27,24
2.5238072872161865,31,35,241,44,47,35,26,27
2.5462539196014404,29,35,200,43,48,39,26,27
2.568368673324585,31,33,241,36,45,37,27,25
2.591426134109497,33,38,259,36,45,37,27,24
2.605872869491577,34,40,269,36,47,33,30,26
2.6293396949768066,30,36,242,38,46,36,28,28
2.6517879962921143,29,40,281,39,50,31,27,27
2.6666440963745117,29,41,255,41,49,32,26,32
2.6885993480682373,25,39,212,42,50,29,24,31
2.7115607261657715,27,39,220,42,51,34,20,31
2.725867986679077,29,43,221,40,48,28,23,27
2.7495219707489014,30,42,207,38,47,34,25,27
2.7804784774780273,31,44,200,40,50,34,24,22
2.7957026958465576,35,43,239,37,51,35,26,24
2.812140941619873,34,45,250,41,48,32,28,25
2.8316969871520996,32,43,251,40,50,34,27,27
2.84972882270813,33,40,259,40,45,32,26,29
2.8694040775299072,33,40,263,38,44,32,28,29
2.8912365436553955,33,42,281,38,47,32,27,29
2.922182321548462,31,38,256,33,53,34,24,28
2.9367878437042236,32,35,280,37,57,34,22,27
2.9520263671875,36,44,253,38,59,35,22,26
2.982252597808838,36,52,281,38,59,37,17,24
2.998034954071045,39,119,244,63,68,38,23,32
3.0128071308135986,56,162,259,75,82,37,34,38
3.0344719886779785,77,222,279,91,92,43,36,43
3.049232006072998,157,395,406,114,110,54,57,60
3.0710840225219727,203,441,409,159,137,60,65,75
3.094581365585327,282,489,456,178,141,69,88,110
3.108522653579712,406,566,542,211,197,94,111,141
3.1313278675079346,448,630,621,379,268,111,120,163
3.1543707847595215,524,562,598,613,283,121,120,195
3.1780338287353516,615,552,616,631,331,146,123,202
3.1999127864837646,704,572,676,632,376,181,127,231
3.2168478965759277,691,550,712,626,381,177,114,233
3.237091541290283,695,516,713,549,378,179,108,219
3.2593162059783936,701,558,777,277,398,187,107,200
3.2743537425994873,722,553,794,227,373,179,111,214
3.296900749206543,699,552,778,222,386,150,105,202
3.310833215713501,789,531,748,232,388,149,112,233
3.3354077339172363,862,494,763,236,398,139,135,267
3.3575448989868164,852,464,719,213,391,120,134,268
3.3741183280944824,857,539,746,217,395,108,144,295
3.3945088386535645,987,595,720,243,473,120,141,304
3.4170961380004883,949,640,771,253,537,135,143,276
3.4311091899871826,891,679,735,247,522,146,125,250
3.454496383666992,952,721,774,258,574,171,136,266
3.4767372608184814,906,771,874,245,564,171,146,252
